Approximate Location,Poverty,PM2.5,Asthma,Area Type
Los Angeles,16.7,11.65149211,27.64,Inner LA
Los Angeles,14.1,11.70232612,26.58,Inner LA
Torrance,15.2,11.8831003,23.8,Inner LA
Diamond Bar,19.5,12.17047827,25.96,Inner LA
Los Angeles,16.1,11.68771731,27.51,Inner LA
Los Angeles,32.5,11.30213066,30.87,Inner LA
Santa Clarita,15.5,9.860296332,32.41,Outer LA
Unincorporated Los Angeles County area,35.0,6.732983022,65.33,Outer LA
Los Angeles,29.0,11.69991328,31.16,Inner LA
Los Angeles,18.1,11.57992001,36.19,Inner LA
Los Angeles,16.6,11.84738147,37.07,Inner LA
Los Angeles,32.3,11.63317139,35.21,Inner LA
East Pasadena,18.8,11.69107527,18.82,Inner LA
Los Angeles,28.5,11.69760185,29.1,Inner LA
Lancaster,41.3,7.465678351,60.67,Outer LA
Pasadena,18.7,11.44145003,25.91,Inner LA
Burbank,9.7,11.51300398,35.08,Inner LA
Los Angeles,79.5,11.54279044,18.77,Inner LA
Los Angeles,11.1,11.78721362,44.83,Inner LA
Monrovia,31.4,11.86061314,28.74,Inner LA
Los Angeles,50.2,11.55230672,37.5,Inner LA
Burbank,18.1,11.65548553,33.25,Inner LA
Arcadia,23.7,11.87707855,22.22,Inner LA
South Whittier,31.5,11.9353244,36.74,Inner LA
Los Angeles,15.5,10.67168543,54.03,Inner LA
Burbank,17.2,11.75487101,34.8,Inner LA
Cerritos,14.9,11.87303838,29.71,Inner LA
Glendora,27.9,11.76915454,46.19,Inner LA
Los Angeles,18.5,12.13679062,42.99,Inner LA
Los Angeles,34.2,11.68337511,31.11,Inner LA
Glendora,23.3,12.01772896,40.41,Inner LA
Santa Monica,20.4,11.75472373,31.01,Inner LA
San Dimas,21.7,12.24965821,35.9,Inner LA
Los Angeles,19.2,11.56320221,30.14,Inner LA
Burbank,15.1,11.52470974,36.17,Inner LA
Los Angeles,21.0,11.83730224,31.63,Inner LA
Altadena,21.5,11.53976318,31.29,Inner LA
Los Angeles,18.0,11.58951435,31.21,Inner LA
Los Angeles,28.4,11.7676418,27.24,Inner LA
Lakewood,13.6,11.71457463,115.64,Inner LA
Temple City,18.5,11.83990675,27.77,Inner LA
Los Angeles,15.7,11.68630169,18.63,Inner LA
Los Angeles,16.4,10.6125987,54.03,Inner LA
Los Angeles,27.8,11.63317139,35.21,Inner LA
Pasadena,29.1,11.46988813,43.23,Inner LA
